initialize Neural Network.
read test data.
File Size :  7840016 Byte.
Magic Number(4Byte) :  0x803
Number Of Items(4Byte) :  10000
Number Of Rows(4Byte) :  28
Number Of Colmuns(4Byte) :  28
Data size :  7840000 Byte.
read test label.
File Size :  10008 Byte.
Magic Number(4Byte) :  0x801
Number Of Items(4Byte) :  10000
Data size :  10000 Byte.
Number Of Labels To "0" :  980
Number Of Labels To "1" :  1135
Number Of Labels To "2" :  1032
Number Of Labels To "3" :  1010
Number Of Labels To "4" :  982
Number Of Labels To "5" :  892
Number Of Labels To "6" :  958
Number Of Labels To "7" :  1028
Number Of Labels To "8" :  974
Number Of Labels To "9" :  1009
data  size :  10000
label size :  10000
--start--
@@ Test Character Recognition @@
Truth: 5 , --> But predict: 6
Truth: 4 , --> But predict: 0
Truth: 4 , --> But predict: 9
Truth: 7 , --> But predict: 4
Truth: 9 , --> But predict: 8
Truth: 9 , --> But predict: 5
Truth: 4 , --> But predict: 2
Truth: 6 , --> But predict: 0
Truth: 9 , --> But predict: 4
Truth: 8 , --> But predict: 0
Truth: 9 , --> But predict: 8
Truth: 2 , --> But predict: 7
Truth: 5 , --> But predict: 3
Truth: 7 , --> But predict: 4
Truth: 6 , --> But predict: 0
Truth: 4 , --> But predict: 9
Truth: 9 , --> But predict: 3
Truth: 3 , --> But predict: 5
Truth: 8 , --> But predict: 0
Truth: 5 , --> But predict: 3
Truth: 7 , --> But predict: 3
Truth: 7 , --> But predict: 9
Truth: 8 , --> But predict: 2
Truth: 8 , --> But predict: 3
Truth: 4 , --> But predict: 2
Truth: 1 , --> But predict: 8
Truth: 7 , --> But predict: 0
Truth: 5 , --> But predict: 3
Truth: 7 , --> But predict: 3
Truth: 8 , --> But predict: 4
Truth: 5 , --> But predict: 8
Truth: 4 , --> But predict: 9
Truth: 4 , --> But predict: 9
Truth: 7 , --> But predict: 2
Truth: 8 , --> But predict: 3
Truth: 8 , --> But predict: 7
Truth: 1 , --> But predict: 3
Truth: 2 , --> But predict: 7
Truth: 8 , --> But predict: 9
Truth: 5 , --> But predict: 4
Truth: 1 , --> But predict: 2
Truth: 6 , --> But predict: 0
Truth: 5 , --> But predict: 3
Truth: 6 , --> But predict: 5
Truth: 7 , --> But predict: 2
Truth: 6 , --> But predict: 8
Truth: 5 , --> But predict: 3
Truth: 9 , --> But predict: 8
Truth: 4 , --> But predict: 6
