File Size :  7840016 Byte.
Magic Number(4Byte) :  0x803
Number Of Items(4Byte) :  10000
Number Of Rows(4Byte) :  28
Number Of Colmuns(4Byte) :  28
Data size :  7840000 Byte.
File Size :  10008 Byte.
Magic Number(4Byte) :  0x801
Number Of Items(4Byte) :  10000
Data size :  10000 Byte.
Number Of Labels To "0" :  980
Number Of Labels To "1" :  1135
Number Of Labels To "2" :  1032
Number Of Labels To "3" :  1010
Number Of Labels To "4" :  982
Number Of Labels To "5" :  892
Number Of Labels To "6" :  958
Number Of Labels To "7" :  1028
Number Of Labels To "8" :  974
Number Of Labels To "9" :  1009
data  size :  10000
label size :  10000
--start--
@@ Show after learning @@
------Input[8]------ miss :  5.0  ->  6
------Input[20]------ miss :  9.0  ->  7
------Input[33]------ miss :  4.0  ->  0
------Input[73]------ miss :  9.0  ->  7
------Input[92]------ miss :  9.0  ->  4
------Input[149]------ miss :  2.0  ->  4
------Input[151]------ miss :  9.0  ->  3
------Input[211]------ miss :  5.0  ->  7
------Input[233]------ miss :  8.0  ->  7
------Input[241]------ miss :  9.0  ->  8
------Input[247]------ miss :  4.0  ->  2
------Input[259]------ miss :  6.0  ->  0
------Input[266]------ miss :  8.0  ->  0
------Input[290]------ miss :  8.0  ->  4
------Input[318]------ miss :  2.0  ->  0
------Input[320]------ miss :  9.0  ->  7
------Input[321]------ miss :  2.0  ->  7
------Input[340]------ miss :  5.0  ->  3
------Input[352]------ miss :  5.0  ->  0
------Input[362]------ miss :  2.0  ->  7
------Input[381]------ miss :  3.0  ->  7
------Input[389]------ miss :  9.0  ->  7
------Input[391]------ miss :  8.0  ->  0
------Input[406]------ miss :  5.0  ->  6
------Input[412]------ miss :  5.0  ->  3
------Input[417]------ miss :  9.0  ->  7
------Input[435]------ miss :  8.0  ->  7
------Input[445]------ miss :  6.0  ->  0
------Input[448]------ miss :  9.0  ->  8
------Input[465]------ miss :  8.0  ->  3
------Input[471]------ miss :  9.0  ->  7
------Input[478]------ miss :  5.0  ->  8
------Input[479]------ miss :  9.0  ->  8
------Input[488]------ miss :  9.0  ->  7
------Input[495]------ miss :  8.0  ->  0
------Input[502]------ miss :  5.0  ->  3
------Input[511]------ miss :  4.0  ->  7
------Input[530]------ miss :  9.0  ->  4
------Input[543]------ miss :  8.0  ->  3
------Input[565]------ miss :  4.0  ->  9
------Input[582]------ miss :  8.0  ->  2
------Input[591]------ miss :  8.0  ->  3
------Input[593]------ miss :  9.0  ->  7
------Input[627]------ miss :  9.0  ->  7
------Input[645]------ miss :  5.0  ->  6
------Input[646]------ miss :  2.0  ->  6
------Input[659]------ miss :  2.0  ->  7
------Input[684]------ miss :  7.0  ->  2
------Input[691]------ miss :  8.0  ->  4
------Input[707]------ miss :  4.0  ->  9
------Input[716]------ miss :  1.0  ->  7
------Input[717]------ miss :  0.0  ->  6
------Input[720]------ miss :  5.0  ->  8
------Input[740]------ miss :  4.0  ->  9
------Input[760]------ miss :  4.0  ->  9
